"Lower Frequency";"Upper Frequency";"RR Region 1 Allocation and RR footnotes applicable to CEPT";"RR Region 1 frequency range footnotes";"European Common Allocation and ECA footnotes";"ECA frequency range footnotes";"ECC/ERC harmonisation measure";"Applications";"Standard";"Notes"
"92 GHz";"94 GHz";"FIXED(5.338A), MOBILE, RADIO ASTRONOMY, RADIOLOCATION";"5.149";"FIXED(5.338A), MOBILE, RADIO ASTRONOMY, RADIOLOCATION";"5.149";"ECC/REC/(14)01, ECC/REC/(18)02";"Fixed";"";""
"92 GHz";"94 GHz";"FIXED(5.338A), MOBILE, RADIO ASTRONOMY, RADIOLOCATION";"5.149";"FIXED(5.338A), MOBILE, RADIO ASTRONOMY, RADIOLOCATION";"5.149";"";"Radio astronomy";"";"Continuum and spectral line observations"
"94 GHz";"94.1 GHz";"EARTH EXPLORATION-SATELLITE (ACTIVE), RADIOLOCATION, SPACE RESEARCH (ACTIVE), Radio Astronomy";"5.562, 5.562A";"EARTH EXPLORATION-SATELLITE (ACTIVE), RADIOLOCATION, SPACE RESEARCH (ACTIVE), Radio Astronomy";"5.562, 5.562A";"";"Active sensors (satellite)";"";"Cloud radars"
"94 GHz";"94.1 GHz";"EARTH EXPLORATION-SATELLITE (ACTIVE), RADIOLOCATION, SPACE RESEARCH (ACTIVE), Radio Astronomy";"5.562, 5.562A";"EARTH EXPLORATION-SATELLITE (ACTIVE), RADIOLOCATION, SPACE RESEARCH (ACTIVE), Radio Astronomy";"5.562, 5.562A";"";"Radio astronomy";"";"Continuum and spectral line observations"
"94 GHz";"94.1 GHz";"EARTH EXPLORATION-SATELLITE (ACTIVE), RADIOLOCATION, SPACE RESEARCH (ACTIVE), Radio Astronomy";"5.562, 5.562A";"EARTH EXPLORATION-SATELLITE (ACTIVE), RADIOLOCATION, SPACE RESEARCH (ACTIVE), Radio Astronomy";"5.562, 5.562A";"";"Space research";"";""
"94.1 GHz";"95 GHz";"FIXED, MOBILE, RADIO ASTRONOMY, RADIOLOCATION";"5.149";"FIXED, MOBILE, RADIO ASTRONOMY, RADIOLOCATION";"5.149";"ECC/REC/(14)01, ECC/REC/(18)02";"Fixed";"";""
"94.1 GHz";"95 GHz";"FIXED, MOBILE, RADIO ASTRONOMY, RADIOLOCATION";"5.149";"FIXED, MOBILE, RADIO ASTRONOMY, RADIOLOCATION";"5.149";"";"Radio astronomy";"";"Continuum and spectral line observations"
"95 GHz";"100 GHz";"FIXED, MOBILE, RADIO ASTRONOMY, RADIOLOCATION, RADIONAVIGATION, RADIONAVIGATION-SATELLITE";"5.149, 5.554";"FIXED, MOBILE, RADIO ASTRONOMY, RADIOLOCATION, RADIONAVIGATION, RADIONAVIGATION-SATELLITE";"5.149, 5.554";"ECC/REC/(18)02";"Fixed";"";""
"95 GHz";"100 GHz";"FIXED, MOBILE, RADIO ASTRONOMY, RADIOLOCATION, RADIONAVIGATION, RADIONAVIGATION-SATELLITE";"5.149, 5.554";"FIXED, MOBILE, RADIO ASTRONOMY, RADIOLOCATION, RADIONAVIGATION, RADIONAVIGATION-SATELLITE";"5.149, 5.554";"";"Radio astronomy";"";"Continuum and spectral line observations"
"100 GHz";"102 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340, 5.341";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340, 5.341";"";"Passive sensors (satellite)";"";"Limb sounding of atmospheric constituents"
