"Lower Frequency";"Upper Frequency";"RR Region 1 Allocation and RR footnotes applicable to CEPT";"RR Region 1 frequency range footnotes";"European Common Allocation and ECA footnotes";"ECA frequency range footnotes";"ECC/ERC harmonisation measure";"Applications";"Standard";"Notes"
"164 GHz";"167 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340";"";"Passive sensors (satellite)";"";"Passive sensing of the water vapour absorption line whose peak is at 183.31 GHz. Atmospheric limb sounding of the 164.38 GHz CO line"
"164 GHz";"167 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340";"";"Radio astronomy";"";"Continuum and spectral line observations"
"164 GHz";"167 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340";"ECC/DEC/(22)03";"Radiodetermination applications";"EN 303 883";""
"167 GHz";"174.5 GHz";"FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), INTER-SATELLITE, MOBILE(5.558)";"5.149";"FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), INTER-SATELLITE, MOBILE(5.558)";"5.149";"ECC/REC/(18)01";"Fixed";"";""
"167 GHz";"174.5 GHz";"FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), INTER-SATELLITE, MOBILE(5.558)";"5.149";"FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), INTER-SATELLITE, MOBILE(5.558)";"5.149";"";"Radio astronomy";"";"Within the band 168-174.5 GHz. Continuum and spectral line observations"
"167 GHz";"174.5 GHz";"FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), INTER-SATELLITE, MOBILE(5.558)";"5.149";"FIXED, FIXED-SATELLITE (SPACE-TO-EARTH), INTER-SATELLITE, MOBILE(5.558)";"5.149";"ECC/DEC/(22)03";"Radiodetermination applications";"EN 303 883";""
"174.5 GHz";"174.8 GHz";"FIXED, INTER-SATELLITE, MOBILE(5.558)";"";"FIXED, INTER-SATELLITE, MOBILE(5.558)";"";"ECC/REC/(18)01";"Fixed";"";""
"174.5 GHz";"174.8 GHz";"FIXED, INTER-SATELLITE, MOBILE(5.558)";"";"FIXED, INTER-SATELLITE, MOBILE(5.558)";"";"ECC/DEC/(22)03";"Radiodetermination applications";"EN 303 883";""
"174.8 GHz";"182 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), INTER-SATELLITE(5.562H), SPACE RESEARCH (PASSIVE)";"";"EARTH EXPLORATION-SATELLITE (PASSIVE), INTER-SATELLITE(5.562H), SPACE RESEARCH (PASSIVE)";"";"";"Passive sensors (satellite)";"";"Passive sensing of the water vapour absorption line whose peak is at 183.31 GHz"
"174.8 GHz";"182 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), INTER-SATELLITE(5.562H), SPACE RESEARCH (PASSIVE)";"";"EARTH EXPLORATION-SATELLITE (PASSIVE), INTER-SATELLITE(5.562H), SPACE RESEARCH (PASSIVE)";"";"ECC/DEC/(22)03";"Radiodetermination applications";"EN 303 883";""
"182 GHz";"185 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340";"";"Passive sensors (satellite)";"";"Passive sensing of the water vapour absorption line whose peak is at 183.31 GHz"
"182 GHz";"185 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340";"";"Radio astronomy";"";"Continuum and spectral line observations"
"182 GHz";"185 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340";"ECC/DEC/(22)03";"Radiodetermination applications";"EN 303 883";""
