"Harmonised Standard";"link";"Low frequency";"High frequency";"Unit";"Application Term"
"EN 300 220";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/300200_300299/30022002/03.02.01_60/en_30022002v030201p.pdf"")";"433.05";"434.79";"MHz";"Non-specific SRDs - Short Range Devices"
"EN 300 220";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/300200_300299/30022002/03.02.01_60/en_30022002v030201p.pdf"")";"862.0";"870.0";"MHz";"Alarms - Short Range Devices"
"EN 300 220";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/300200_300299/30022002/03.02.01_60/en_30022002v030201p.pdf"")";"862.0";"870.0";"MHz";"Non-specific SRDs - Short Range Devices"
"EN 300 220";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/300200_300299/30022002/03.02.01_60/en_30022002v030201p.pdf"")";"870.0";"876.0";"MHz";"Non-specific SRDs - Short Range Devices"
"EN 300 220";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/300200_300299/30022002/03.02.01_60/en_30022002v030201p.pdf"")";"915.0";"921.0";"MHz";"Non-specific SRDs - Short Range Devices"
"EN 300 220";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/300200_300299/30022002/03.02.01_60/en_30022002v030201p.pdf"")";"26990.0";"27000.0";"kHz";"Model control - Short Range Devices"
"EN 300 220";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/300200_300299/30022002/03.02.01_60/en_30022002v030201p.pdf"")";"27040.0";"27050.0";"kHz";"Model control - Short Range Devices"
"EN 300 220";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/300200_300299/30022002/03.02.01_60/en_30022002v030201p.pdf"")";"27090.0";"27100.0";"kHz";"Model control - Short Range Devices"
"EN 300 220";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/300200_300299/30022002/03.02.01_60/en_30022002v030201p.pdf"")";"27140.0";"27150.0";"kHz";"Model control - Short Range Devices"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"30.01";"37.5";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"37.5";"38.25";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"38.25";"39.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"39.0";"39.5";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"39.5";"39.986";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"39.986";"40.02";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"40.02";"40.66";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"40.7";"40.98";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"40.98";"41.015";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"41.015";"42.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"42.0";"42.5";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"42.5";"44.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"44.0";"47.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"47.0";"50.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"50.0";"52.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"52.0";"68.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"68.0";"70.45";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"70.45";"74.8";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"75.2";"87.5";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"146.0";"148.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"148.0";"149.9";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"149.9";"150.05";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"150.05";"153.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"153.0";"154.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"154.0";"156.4875";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"156.8375";"157.1875";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"157.1875";"157.3375";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"157.3375";"161.7875";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"161.7875";"161.9375";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"161.9375";"161.9625";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"162.0375";"169.4";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"169.8125";"174.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"406.1";"410.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"410.0";"420.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"420.0";"430.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"440.0";"450.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"450.0";"455.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"455.0";"456.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"456.0";"459.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"459.0";"460.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 341";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf"")";"460.0";"470.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 066";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300001_300099/300066/01.03.01_60/en_300066v010301p.pdf"")";"406.0";"406.1";"MHz";"EPIRBs - GMDSS - Maritime"
"EN 302 195";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302100_302199/302195/02.01.01_60/en_302195v020101p.pdf"")";"9.0";"315.0";"kHz";"ULP-AMI - Active medical implants - Short Range Devices"
"EN 302 194";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302100_302199/30219402/01.01.02_60/en_30219402v010102p.pdf"")";"9300.0";"9500.0";"MHz";"Radiolocation (civil) - Other"
"EN 300 065";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300001_300099/300065/02.01.02_60/en_300065v020102p.pdf"")";"479.0";"495.0";"kHz";"NAVTEX - GMDSS - Maritime"
"EN 300 065";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300001_300099/300065/02.01.02_60/en_300065v020102p.pdf"")";"505.0";"526.5";"kHz";"NAVTEX - GMDSS - Maritime"
"EN 300 065";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300001_300099/300065/02.01.02_60/en_300065v020102p.pdf"")";"4063.0";"4438.0";"kHz";"NAVTEX - GMDSS - Maritime"
"EN 302 077";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302000_302099/302077/02.01.01_60/en_302077v020101p.pdf"")";"174.0";"230.0";"MHz";"Broadcasting (terrestrial) - Broadcasting"
"EN 302 077";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302000_302099/302077/02.01.01_60/en_302077v020101p.pdf"")";"230.0";"240.0";"MHz";"T-DAB - Broadcasting (terrestrial) - Broadcasting"
"EN 302 077";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302000_302099/302077/02.01.01_60/en_302077v020101p.pdf"")";"1452.0";"1492.0";"MHz";"T-DAB - Broadcasting (terrestrial) - Broadcasting"
"EN 302 510";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302500_302599/302510/02.01.01_60/en_302510v020101p.pdf"")";"30.0";"37.5";"MHz";"ULP-MMI - Active medical implants - Short Range Devices"
"EN 302 752";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302700_302799/302752/01.01.01_60/en_302752v010101p.pdf"")";"2900.0";"3100.0";"MHz";"Radiolocation (civil) - Other"
"EN 302 752";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302700_302799/302752/01.01.01_60/en_302752v010101p.pdf"")";"9300.0";"9500.0";"MHz";"Radiolocation (civil) - Other"
"EN 300 224";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/30022402/01.01.01_60/en_30022402v010101p.pdf"")";"47.0";"48.0";"MHz";"On-site paging - Paging - Land mobile"
"EN 300 224";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/30022402/01.01.01_60/en_30022402v010101p.pdf"")";"440.0";"470.0";"MHz";"On-site paging - Paging - Land mobile"
"EN 302 636";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/302600_302699/3026360501/02.02.01_60/en_3026360501v020201p.pdf"")";"5850.0";"5925.0";"MHz";"ITS - Land mobile"
"EN 303 316";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/303300_303399/303316/01.02.01_60/en_303316v010201p.pdf"")";"5850.0";"5925.0";"MHz";"DA2GC - Digital cellular - MFCN"
"EN 302 637";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/302600_302699/30263703/01.03.01_60/en_30263703v010301p.pdf"")";"5850.0";"5925.0";"MHz";"ITS - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"30.01";"37.5";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"37.5";"38.25";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"38.25";"39.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"39.0";"39.5";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"39.5";"39.986";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"39.986";"40.02";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"40.02";"40.66";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"40.7";"40.98";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"40.98";"41.015";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"41.015";"42.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"42.0";"42.5";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"42.5";"44.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"44.0";"47.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"47.0";"50.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"50.0";"52.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"52.0";"68.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"68.0";"70.45";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"70.45";"74.8";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"75.2";"87.5";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"146.0";"148.0";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"148.0";"149.9";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"149.9";"150.05";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"150.05";"153.0";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"153.0";"154.0";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"154.0";"156.4875";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"156.8375";"157.1875";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"157.1875";"157.3375";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"157.3375";"161.7875";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"161.7875";"161.9375";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"161.9375";"161.9625";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"162.0375";"169.4";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"169.8125";"174.0";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"380.0";"385.0";"MHz";"PPDR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"385.0";"387.0";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"387.0";"390.0";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"390.0";"395.0";"MHz";"PPDR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"395.0";"399.9";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"406.1";"410.0";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"410.0";"420.0";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"420.0";"430.0";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"440.0";"450.0";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"450.0";"455.0";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"455.0";"456.0";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"456.0";"459.0";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"459.0";"460.0";"MHz";"PMR/PAMR - Land mobile"
"EN 303 039";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303039/02.01.02_60/en_303039v020102p.pdf"")";"460.0";"470.0";"MHz";"PMR/PAMR - Land mobile"
"EN 301 783";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301700_301799/301783/02.01.01_60/en_301783v020101p.pdf"")";"135.7";"137.8";"kHz";"Amateur - Other"
"EN 301 783";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301700_301799/301783/02.01.01_60/en_301783v020101p.pdf"")";"472.0";"479.0";"kHz";"Amateur - Other"
"EN 301 783";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301700_301799/301783/02.01.01_60/en_301783v020101p.pdf"")";"1810.0";"2000.0";"kHz";"Amateur - Other"
"EN 301 783";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301700_301799/301783/02.01.01_60/en_301783v020101p.pdf"")";"3500.0";"3800.0";"kHz";"Amateur - Other"
"EN 301 783";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301700_301799/301783/02.01.01_60/en_301783v020101p.pdf"")";"5351.5";"5366.5";"kHz";"Amateur - Other"
"EN 301 783";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301700_301799/301783/02.01.01_60/en_301783v020101p.pdf"")";"7000.0";"7200.0";"kHz";"Amateur - Other"
"EN 301 783";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301700_301799/301783/02.01.01_60/en_301783v020101p.pdf"")";"10100.0";"10150.0";"kHz";"Amateur - Other"
"EN 301 783";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301700_301799/301783/02.01.01_60/en_301783v020101p.pdf"")";"14000.0";"14350.0";"kHz";"Amateur - Other"
"EN 301 783";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301700_301799/301783/02.01.01_60/en_301783v020101p.pdf"")";"18068.0";"18168.0";"kHz";"Amateur - Other"
"EN 301 783";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301700_301799/301783/02.01.01_60/en_301783v020101p.pdf"")";"21000.0";"21450.0";"kHz";"Amateur - Other"
"EN 301 783";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301700_301799/301783/02.01.01_60/en_301783v020101p.pdf"")";"24890.0";"24990.0";"kHz";"Amateur - Other"
"EN 301 783";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301700_301799/301783/02.01.01_60/en_301783v020101p.pdf"")";"28.0";"29.7";"MHz";"Amateur - Other"
"EN 301 783";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301700_301799/301783/02.01.01_60/en_301783v020101p.pdf"")";"50.0";"52.0";"MHz";"Amateur - Other"
"EN 301 783";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301700_301799/301783/02.01.01_60/en_301783v020101p.pdf"")";"69.9";"70.5";"MHz";"Amateur - Other"
"EN 301 783";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301700_301799/301783/02.01.01_60/en_301783v020101p.pdf"")";"144.0";"146.0";"MHz";"Amateur - Other"
"EN 301 783";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301700_301799/301783/02.01.01_60/en_301783v020101p.pdf"")";"430.0";"440.0";"MHz";"Amateur - Other"
"EN 301 783";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301700_301799/301783/02.01.01_60/en_301783v020101p.pdf"")";"1240.0";"1300.0";"MHz";"Amateur - Other"
"EN 301 783";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301700_301799/301783/02.01.01_60/en_301783v020101p.pdf"")";"2300.0";"2450.0";"MHz";"Amateur - Other"
"EN 301 783";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301700_301799/301783/02.01.01_60/en_301783v020101p.pdf"")";"3400.0";"3410.0";"MHz";"Amateur - Other"
"EN 301 783";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301700_301799/301783/02.01.01_60/en_301783v020101p.pdf"")";"5650.0";"5850.0";"MHz";"Amateur - Other"
"EN 301 783";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301700_301799/301783/02.01.01_60/en_301783v020101p.pdf"")";"10000.0";"10500.0";"MHz";"Amateur - Other"
