"Type";"Title";"Group";"Publish Date";"Status";"Description";"pdf";"Landing Page"
"EC Decisions";"Decision (EU) 2016/687";"";"2016-04-28";"Active";"Commission Decision (EU) 2016/687 of 28 April 2016 on the harmonisation of the 694-790 MHz frequency band for terrestrial systems capable of providing wireless broadband electronic communications services and for flexible national use in the Union";"=HYPERLINK(""http://docdb.cept.org/download/153"")";"=HYPERLINK(""http://docdb.cept.org/document/973"")"
"EC Decisions";"Decision (EU) 2017/1438";"";"2017-08-04";"Withdrawn";"Commission Implementing Decision (EU) 2017/1438 of 4 August 2017 amending Decision 2007/131/EC on allowing the use of the radio spectrum for equipment using ultra-wideband technology in a harmonised manner in the Community";"=HYPERLINK(""http://docdb.cept.org/download/154"")";"=HYPERLINK(""http://docdb.cept.org/document/1000"")"
"EC Decisions";"Decision (EU) 2017/1483";"";"2017-08-08";"Withdrawn";"Commission Implementing Decision (EU) 2017/1483 of 8 August 2017 amending Decision 2006/771/EC on harmonisation of the radio spectrum for use by short-range devices and repealing Decision 2006/804/EC";"=HYPERLINK(""http://docdb.cept.org/download/155"")";"=HYPERLINK(""http://docdb.cept.org/document/1004"")"
"EC Decisions";"Decision (EU) 2017/191";"";"2017-02-01";"Active";"Commission Implementing Decision (EU) 2017/191 of 1 February 2017 amending Decision 2010/166/EU, in order to introduce new technologies and frequency bands for mobile communication services on board vessels (MCV services) in the European Union";"=HYPERLINK(""http://docdb.cept.org/download/156"")";"=HYPERLINK(""http://docdb.cept.org/document/975"")"
"EC Decisions";"Decision (EU) 2017/2077";"";"2017-11-10";"Active";"Commission implementing Decision (EU) 2017/2077 of 10 November 2017 amending Decision 2005/50/EC on the harmonisation of the 24 GHz range radio spectrum band for the time-limited use by automotive short-range radar equipment in the Community";"=HYPERLINK(""http://docdb.cept.org/download/157"")";"=HYPERLINK(""http://docdb.cept.org/document/1015"")"
"EC Decisions";"Decision (EU) 2017/899";"";"2017-05-17";"Active";"Decision (EU) 2017/899 of the European Parliament and of the Council of 17 May 2017 on the use of the 470-790 MHz frequency band in the Union";"=HYPERLINK(""http://docdb.cept.org/download/158"")";"=HYPERLINK(""http://docdb.cept.org/document/972"")"
"EC Decisions";"Decision (EU) 2018/1538";"";"2018-10-11";"Active";"Commission Implementing Decision 2018/1538/EU of 11 October 2018 on the harmonisation of radio spectrum for use by short-range devices within the 874-876 and 915-921 MHz frequency bands ";"=HYPERLINK(""http://docdb.cept.org/download/159"")";"=HYPERLINK(""http://docdb.cept.org/document/6403"")"
"EC Decisions";"Decision (EU) 2018/637";"";"2018-04-20";"Active";"Commission Implementing Decision (EU) 2018/637 of 20 April 2018 amending Decision 2009/766/EC on the harmonisation of the 900 MHz and 1800 MHz frequency bands for terrestrial systems capable of providing pan-European electronic communications services in the Community as regards relevant technical conditions for the Internet of Things";"=HYPERLINK(""http://docdb.cept.org/download/160"")";"=HYPERLINK(""http://docdb.cept.org/document/8821"")"
"EC Decisions";"Decision (EU) 2018/661 ";"";"2018-04-26";"Active";"Commission Implementing Decision (EU) 2018/661 of 26 April 2018 amending Implementing Decision (EU) 2015/750 on the harmonisation of the 1452-1492 MHz frequency band for terrestrial systems capable of providing electronic communications services in the Union as regards its extension in the harmonised 1427-1452 MHz and 1492-1517 MHz frequency bands ";"=HYPERLINK(""http://docdb.cept.org/download/161"")";"=HYPERLINK(""http://docdb.cept.org/document/8820"")"
"EC Decisions";"Decision (EU) 2019/1345";"";"2019-08-02";"Withdrawn";"Commission Implementing Decision (EU) 2019/1345 of 2 August 2019 amending Decision 2006/771/EC updating harmonised technical conditions in the area of radio spectrum use for short-range devices (notified under document C(2019) 5660) (Text with EEA relevance.)
";"=HYPERLINK(""http://docdb.cept.org/download/162"")";"=HYPERLINK(""http://docdb.cept.org/document/12983"")"
"EC Decisions";"Decision (EU) 2019/235";"";"2019-01-24";"Active";"Commission Implementing Decision (EU) 2019/235 of 24 January 2019 on amending Decision 2008/411/EC as regards an update of relevant technical conditions applicable to the 3400-3800 MHz frequency band ";"=HYPERLINK(""http://docdb.cept.org/download/163"")";"=HYPERLINK(""http://docdb.cept.org/document/8822"")"
"EC Decisions";"Decision (EU) 2019/784 ";"";"2019-05-14";"Active";"Commission implementing Decision (EU) 2019/784 of 14 May 2019 on harmonisation of the 24,25-27,5 GHz frequency band for terrestrial systems capable of providing wireless broadband electronic communications services in the Union ";"=HYPERLINK(""http://docdb.cept.org/download/164"")";"=HYPERLINK(""http://docdb.cept.org/document/10169"")"
"EC Decisions";"Decision (EU) 2019/785";;"2019-05-07";"Active";"Commission Implementing Decision (EU) 2019/785 of 14 May 2019 on the harmonisation of radio spectrum for equipment using ultra-wideband technology in the Union and repealing Decision 2007/131/EC";"=HYPERLINK(""http://docdb.cept.org/download/165"")";"=HYPERLINK(""http://docdb.cept.org/document/15363"")"
"EC Decisions";"Decision (EU) 2020/1426";"";"2020-10-07";"Active";"Commission implementing Decision (EU) 2020/1426 of 7 October 2020 on the harmonised use of radio spectrum in the 5875-5935 MHz frequency band for safety-related applications of intelligent transport systems (ITS) and repealing Decision 2008/671/EC ";"=HYPERLINK(""http://docdb.cept.org/download/166"")";"=HYPERLINK(""http://docdb.cept.org/document/18491"")"
"EC Decisions";"Decision (EU) 2020/590";"";"2020-04-24";"Active";"Commission Implementing Decision (EU) 2020/590 of 24 April 2020 amending Decision (EU) 2019/784 as regards an update of relevant technical conditions applicable to the 24.25-27.5 GHz frequency band";"=HYPERLINK(""http://docdb.cept.org/download/167"")";"=HYPERLINK(""http://docdb.cept.org/document/15110"")"
"EC Decisions";"Decision (EU) 2020/636";"";"2020-05-08";"Active";"Commission Implementing Decision (EU) 2020/636 of 8 May 2020 amending Decision 2008/477/EC as regards an update of relevant technical conditions applicable to the 2500-2690 MHz frequency band";"=HYPERLINK(""http://docdb.cept.org/download/168"")";"=HYPERLINK(""http://docdb.cept.org/document/15108"")"
"EC Decisions";"Decision (EU) 2020/667 ";"";"2020-05-06";"Active";"Commission Implementing Decision (EU) 2020/667 of 6 May 2020 amending Decision 2012/688/EU as regards an update of relevant technical conditions applicable to the frequency bands 1920-1980 MHz and 2110-2170 MHz";"=HYPERLINK(""http://docdb.cept.org/download/169"")";"=HYPERLINK(""http://docdb.cept.org/document/15109"")"
"EC Decisions";"Decision (EU) 2021/1038 ";"";"2021-06-23";"Active";"Commission Decision (EU) 2021/1038 of 23 June 2021 granting a transitional period to the Kingdom of the Netherlands pursuant to Decision 2008/477/EC as regards an update of relevant technical conditions applicable to the 2500-2690 MHz frequency band";"=HYPERLINK(""http://docdb.cept.org/download/3554"")";"=HYPERLINK(""http://docdb.cept.org/document/21193"")"
"EC Decisions";"Decision (EU) 2021/1067 ";;"2021-06-17";"Active";"Commission implementing Decision (EU) 2021/1067 of 17 June 2021 on the harmonised use of radio spectrum in the 5945-6425 MHz frequency band for the implementation of wireless access systems including radio local area networks (WAS/RLANs) ";"=HYPERLINK(""http://docdb.cept.org/download/3467"")";"=HYPERLINK(""http://docdb.cept.org/document/20275"")"
"EC Decisions";"Decision (EU) 2021/1730";;"2021-09-28";"Active";"Commission implementing Decision (EU) 2021/1730 of 28 September 2021 on the harmonised use of the paired frequency bands 874.4-880.0 MHz and 919.4-925.0 MHz and of the unpaired frequency band 1900-1910 MHz for Railway Mobile Radio";"=HYPERLINK(""http://docdb.cept.org/download/3474"")";"=HYPERLINK(""http://docdb.cept.org/document/21718"")"
"EC Decisions";"Decision (EU) 2022/172";;"2022-02-07";"Active";"Commission Implementing Decision (EU) 2022/172 of 7 February 2022 amending Implementing Decision (EU) 2018/1538 on the harmonisation of radio spectrum for use by short-range devices within the 874-876 and 915-921 MHz frequency bands ";"=HYPERLINK(""http://docdb.cept.org/download/3694"")";"=HYPERLINK(""http://docdb.cept.org/document/26192"")"
"EC Decisions";"Decision (EU) 2022/173";;"2022-02-07";"Active";"Commission Implementing Decision (EU) 2022/173 of 7 February 2022 on the harmonisation of the 900 MHz and 1800 MHz frequency bands for terrestrial systems capable of providing electronic communications services in the Union and repealing Decision 2009/766/EC ";"=HYPERLINK(""http://docdb.cept.org/download/3695"")";"=HYPERLINK(""http://docdb.cept.org/document/26193"")"
